,Paragraph Text,Binary Emotion Class/Score,Ekman Emotion Class
260,"He pulled open the next door, both of them hardly daring to look at what came next - but there was nothing very frightening in here, just a table with seven differently shaped bottles standing on it in a line. ","{'labels': ['neutral'], 'scores': [0.99928844]}","{'labels': ['neutral'], 'scores': [0.9988268]}"
261,"""Snape's,"" said Harry. ""What do we have to do?"" ","{'labels': ['neutral'], 'scores': [0.9962793]}","{'labels': ['neutral'], 'scores': [0.9992217]}"
262,"They stepped over the threshold, and immediately a fire sprang up behind them in the doorway. It wasn't ordinary fire either; it was purple. At the same instant, black flames shot up in the doorway leading onward. They were trapped. ","{'labels': ['neutral'], 'scores': [0.9990507]}","{'labels': ['neutral'], 'scores': [0.99754626]}"
263,"""Look!"" Hermione seized a roll of paper lying next to the bottles. Harry looked over her shoulder to read it: ","{'labels': ['neutral'], 'scores': [0.99962866]}","{'labels': ['neutral'], 'scores': [0.9994629]}"
264,"Danger lies before you, while safety lies behind, ","{'labels': ['neutral', 'positive'], 'scores': [0.3484207, 0.4215181]}","{'labels': ['joy', 'neutral'], 'scores': [0.54197776, 0.9958813]}"
265,"Two of us will help you, which ever you would find, ","{'labels': ['positive'], 'scores': [0.99936134]}","{'labels': ['joy'], 'scores': [0.9992855]}"
266,"One among us seven will let you move ahead, ","{'labels': ['neutral'], 'scores': [0.99892837]}","{'labels': ['neutral'], 'scores': [0.9986319]}"
267,"Another will transport the drinker back instead, ","{'labels': ['neutral'], 'scores': [0.9994716]}","{'labels': ['neutral'], 'scores': [0.99945265]}"
268,"Two among our number hold only nettle wine, ","{'labels': ['neutral'], 'scores': [0.99954116]}","{'labels': ['neutral'], 'scores': [0.9994779]}"
269,"Three of us are killers, waiting bidden in line. ","{'labels': ['negative', 'neutral'], 'scores': [0.56490517, 0.99723405]}","{'labels': ['neutral'], 'scores': [0.99921227]}"
270,"Choose, unless you wish to stay here forevermore, ","{'labels': ['neutral'], 'scores': [0.9990735]}","{'labels': ['neutral'], 'scores': [0.99910223]}"
271,"To help you in your choice, we give you these clues four: ","{'labels': ['neutral'], 'scores': [0.98730904]}","{'labels': ['neutral', 'surprise'], 'scores': [0.9971949, 0.4959395]}"
272,"First, however slyly the poison tries to hide ","{'labels': ['neutral'], 'scores': [0.9996443]}","{'labels': ['neutral'], 'scores': [0.999257]}"
273,You will always find some on nettle wine's left side; ,"{'labels': ['neutral'], 'scores': [0.9993117]}","{'labels': ['neutral'], 'scores': [0.9994548]}"
274,"Second, different are those who stand at either end, ","{'labels': ['neutral'], 'scores': [0.9994579]}","{'labels': ['neutral', 'surprise'], 'scores': [0.98115367, 0.5289225]}"
275,"But if you would move onward, neither is your friend; ","{'labels': ['neutral'], 'scores': [0.99927694]}","{'labels': ['neutral'], 'scores': [0.9980013]}"
276,"Third, as you see clearly, all are different size, ","{'labels': ['neutral'], 'scores': [0.999622]}","{'labels': ['neutral'], 'scores': [0.9991696]}"
277,Neither dwarf nor giant holds death in their insides; ,"{'labels': ['neutral'], 'scores': [0.9990746]}","{'labels': ['neutral'], 'scores': [0.99949634]}"
278,"Fourth, the second left and the second on the right ","{'labels': ['neutral'], 'scores': [0.9994431]}","{'labels': ['neutral'], 'scores': [0.99929905]}"
279,"Are twins once you taste them, though different at first sight. ","{'labels': ['neutral'], 'scores': [0.9984523]}","{'labels': ['neutral', 'surprise'], 'scores': [0.9320537, 0.92586416]}"
280,"Hermione let out a great sigh and Harry, amazed, saw that she was smiling, the very last thing he felt like doing. ","{'labels': ['positive'], 'scores': [0.999316]}","{'labels': ['joy'], 'scores': [0.9978642]}"
281,"""Brilliant,"" said Hermione. ""This isn't magic -- it's logic -- a puzzle. A lot of the greatest wizards haven't got an ounce of logic, they'd be stuck in here forever."" ","{'labels': ['negative', 'positive'], 'scores': [0.86475325, 0.99847704]}","{'labels': ['joy', 'surprise'], 'scores': [0.9986082, 0.39743206]}"
282,"""But so will we, won't we?"" ","{'labels': ['ambiguous'], 'scores': [0.9986125]}","{'labels': ['surprise'], 'scores': [0.99807394]}"
283,"""Of course not,"" said Hermione. ""Everything we need is here on this paper. Seven bottles: three are poison; two are wine; one will get us safely through the black fire, and one will get us back through the purple."" ""But how do we know which to drink?"" ","{'labels': ['neutral'], 'scores': [0.9938306]}","{'labels': ['neutral'], 'scores': [0.9820555]}"
284,"""Give me a minute."" ","{'labels': ['neutral'], 'scores': [0.9980811]}","{'labels': ['neutral'], 'scores': [0.99912184]}"
285,"Hermione read the paper several times. Then she walked up and down the line of bottles, muttering to herself and pointing at them. At last, she clapped her hands. ","{'labels': ['neutral'], 'scores': [0.99915874]}","{'labels': ['neutral'], 'scores': [0.9988244]}"
286,"""Got it,"" she said. ""The smallest bottle will get us through the black fire -- toward the Stone."" ","{'labels': ['neutral'], 'scores': [0.9995284]}","{'labels': ['neutral'], 'scores': [0.9994382]}"
287,Harry looked at the tiny bottle. ,"{'labels': ['neutral'], 'scores': [0.99918157]}","{'labels': ['neutral'], 'scores': [0.99803823]}"
288,"""There's only enough there for one of us,"" he said. ""That's hardly one swallow."" ","{'labels': ['neutral'], 'scores': [0.99945134]}","{'labels': ['neutral'], 'scores': [0.9995746]}"
289,They looked at each other. ,"{'labels': ['neutral'], 'scores': [0.9987907]}","{'labels': ['neutral'], 'scores': [0.9992455]}"
290,"""Which one will get you back through the purple flames?"" ","{'labels': ['ambiguous'], 'scores': [0.998678]}","{'labels': ['surprise'], 'scores': [0.99883014]}"
291,Hermione pointed at a rounded bottle at the right end of the line. ,"{'labels': ['neutral'], 'scores': [0.9995189]}","{'labels': ['neutral'], 'scores': [0.9995301]}"
292,"""You drink that,"" said Harry. ""No, listen, get back and get Ron. Grab brooms from the flying-key room, they'll get you out of the trapdoor and past Fluffy -- go straight to the owlery and send Hedwig to Dumbledore, we need him. I might be able to hold Snape off for a while, but I'm no match for him, really."" ","{'labels': ['neutral'], 'scores': [0.9996568]}","{'labels': ['neutral'], 'scores': [0.99944264]}"
293,"""But Harry -- what if You-Know-Who's with him?"" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.9896164, 0.41194603]}","{'labels': ['neutral', 'surprise'], 'scores': [0.72065645, 0.98924154]}"
294,"""Well -- I was lucky once, wasn't I?"" said Harry, pointing at his scar. ""I might get lucky again."" ","{'labels': ['ambiguous', 'positive'], 'scores': [0.90860337, 0.96128637]}","{'labels': ['joy', 'surprise'], 'scores': [0.45441392, 0.9593654]}"
295,"Hermione's lip trembled, and she suddenly dashed at Harry and threw her arms around him. ","{'labels': ['neutral'], 'scores': [0.9742555]}","{'labels': ['joy', 'neutral'], 'scores': [0.3351847, 0.9716583]}"
296,"""Hermione!"" ","{'labels': ['neutral'], 'scores': [0.9992446]}","{'labels': ['neutral'], 'scores': [0.9992411]}"
297,"""Harry -- you're a great wizard, you know."" ","{'labels': ['positive'], 'scores': [0.9995577]}","{'labels': ['joy'], 'scores': [0.9994261]}"
298,"""I'm not as good as you,"" said Harry, very embarrassed, as she let go of him. ","{'labels': ['negative'], 'scores': [0.9986179]}","{'labels': ['sadness'], 'scores': [0.9972675]}"
299,"""Me!"" said Hermione. ""Books! And cleverness! There are more important things -- friendship and bravery and -- oh Harry --be careful! "" ","{'labels': ['positive'], 'scores': [0.99445057]}","{'labels': ['joy'], 'scores': [0.9989428]}"
300,"""You drink first,"" said Harry. ""You are sure which is which, aren't you?"" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.90140295, 0.851748]}","{'labels': ['neutral', 'surprise'], 'scores': [0.9893364, 0.55798686]}"
301,"""Positive,"" said Hermione. She took a long drink from the round bottle at the end, and shuddered. ","{'labels': ['neutral', 'positive'], 'scores': [0.5628869, 0.9650916]}","{'labels': ['joy', 'neutral'], 'scores': [0.73893905, 0.98193973]}"
302,"""It's not poison?"" said Harry anxiously. ","{'labels': ['positive'], 'scores': [0.3933575]}","{'labels': ['fear', 'surprise'], 'scores': [0.6613424, 0.4523616]}"
303,"""No -- but it's like ice."" ","{'labels': ['neutral'], 'scores': [0.9994288]}","{'labels': ['neutral'], 'scores': [0.9978611]}"
304,"""Quick, go, before it wears off."" ","{'labels': ['neutral'], 'scores': [0.99892706]}","{'labels': ['neutral'], 'scores': [0.9985734]}"
305,"""Good luck -- take care."" ","{'labels': ['positive'], 'scores': [0.99911886]}","{'labels': ['joy'], 'scores': [0.99847335]}"
306,"""GO!"" ","{'labels': ['neutral'], 'scores': [0.99843997]}","{'labels': ['neutral'], 'scores': [0.99637514]}"
307,Hermione turned and walked straight through the purple fire. ,"{'labels': ['neutral'], 'scores': [0.999572]}","{'labels': ['neutral'], 'scores': [0.9990546]}"
308,Harry took a deep breath and picked up the smallest bottle. He turned to face the black flames. ,"{'labels': ['neutral'], 'scores': [0.9991627]}","{'labels': ['neutral'], 'scores': [0.9990607]}"
309,"""Here I come,"" he said, and he drained the little bottle in one gulp. ","{'labels': ['neutral'], 'scores': [0.99922633]}","{'labels': ['neutral'], 'scores': [0.9991886]}"
310,"It was indeed as though ice was flooding his body. He put the bottle down and walked forward; he braced himself, saw the black flames licking his body, but couldn't feel them -- for a moment he could see nothing but dark fire -- then he was on the other side, in the last chamber. ","{'labels': ['neutral'], 'scores': [0.9990914]}","{'labels': ['neutral'], 'scores': [0.9981407]}"
311,There was already someone there -- but it wasn't Snape. It wasn't even Voldemort. ,"{'labels': ['negative', 'neutral'], 'scores': [0.8230578, 0.93619704]}","{'labels': ['neutral'], 'scores': [0.99934524]}"
